Exam_Year,Exam_Type,Subject_Code,Subject_Name,Section,Question_No,Sub_Question,Question_Text,Marks,CO,Bloom_Taxonomy
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,1,What is Algorithm? Discuss Looping Type of Algorithm with example.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,2,What is C Token? How it is useful in C Language?,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,3,Discuss Relational operator with example in C Language.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,4,Discuss data types with storage range in detail with example.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,5,Can we Create Switch without Break and Default? Explain Switch with example in C Language.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,6,Discuss ELSE IF ladder with example in C Language.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,I,Q1,7,Explain Exit Control Loop with example in C Language.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,1,What is Flowchart? Discuss various Flowchart Symbols.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,2,What is Variable? How to declare Variable? Discuss various Variable declaration rules.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q2,3,"Write Algorithm & Flowchart to generate first 25 Fibonacci terms 0,1,1,2,3,5...n (n=25).",6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,1,"Give the output of following logical code: for(i=1;i<=10;i++) { printf('%d', i); } and Give the output of switch(day=5) code.",6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,2,Discuss Logical operator with example.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q3,3,Write a C program to find MAX number from 3 variables using ternary (? :) operator.,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q4,1,Write a C program to print pattern: 1 / 1 0 / 1 0 1 / 1 0 1 0,6,,
Nov-Dec 2019,Regular,U11A1IP1,Introduction to Programming-I,II,Q4,2,Write a C program to check given number is prime or not.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,A,Elaborate the Web browser and Web server in details.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,B,State the difference between Block and Inline element with its example.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,C,Explain New Semantic Tags in HTML 5.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,D,State the importance of CSS with its advantage.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,E,Explain the JavaScript operators in details.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,F,State the importance of Web Designing principles.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,I,Q1,G,"What is cookie? Write the syntax to create, read and delete a cookie using JavaScript.",6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q2,A,State the difference between Static & Dynamic Web sites.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q2,B,Discuss the text formatting tags with example.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q2,C,Explain layout using Frameset and Frame with proper example.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q3,A,Explain the concepts of Web storage in details.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q3,B,Explain CSS background properties with proper example.,6,,
Nov-Dec 2019,Regular,U11A3WD1,Web Designing-I,II,Q3,C,Write HTML code for the creation of Student registration form.,6,,
