ROW1|col0='Course'|col1='Semester'|col2='Source File'|col3='Question Text'
ROW2|col0='  B.Sc. (CA&IT)'|col1=None|col2=None|col3=None
ROW3|col0='    SEM-1'|col1=None|col2=None|col3=None
ROW4|col0='        📄 B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col1=None|col2=None|col3=None
ROW5|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.'
ROW6|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='This Question paper has two sections. Each section should be written in a separate answer book.'
ROW7|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and Question 4 of 6 Marks with options respectively.'
ROW8|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW9|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
ROW10|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3="Bloom's Taxonomy Based Assessment Pattern: BTll-Remember; BTL2- Understand; BTL3- Apply; BTl4-Analyze; BTL5- Evaluate; BTL6-Create. I Section - Q-1 (Any"
ROW11|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Regular Theory Examination - Nov.-De c.2023 Ul1A2OAT: OFFICE AUTOMATION TOOLS Time: 3 Hours Total: 60 Marks Instructions: l. Figures to the right indicate fulImarks, Course Outcomes and BL pattern Level.'
ROW12|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='This Question paper has two sections. Each section should be written in b separate answer book. J a . Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il consist of 03 questions, Question 2 of 12 Marks, Question 3 of l2Marks and euestion 4 of 6 Marks with options respectively.'
ROW13|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='Be precise and to the point in your answer.'
ROW14|col0='B.Sc. (CA&IT)'|col1='SEM-1'|col2='B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf'|col3='CO is Course Outcome from the Subject Syllabus.'
