course,semester,year,exam_type,question,marks
B.Sc. (CA&IT),1,2023,Remedial,"Write an Algorithm to print ""DCS-GNU"" ten times using loops Write a short note on Primary Data Types Explain Increment and Decrement operators with example Explain Nested if... else statement with proper example What is looping? Explain tor loop with",12
B.Sc. (CA&IT),1,2023,Remedial,Discuss various Flowchart Symbols Discuss basic structure of C Program with example Write a short note on Symbolic Constants,12
B.Sc. (CA&IT),1,2023,Remedial,Write a C program to find largest number among three numbers What is switch case statement? Explain it with proper example Explain goto statement with example Discuss break and continue statement with example Discuss the difference between CUI Vs.GUI,6
B.Sc. (CA&IT),1,2023,Remedial,"Explain MS-Access Object. 2 How to Filtering data in MS-Access? Whatis Website? Describe various text formatting taps of HIME, 4 Differentiate canvas and SVG, 5 Explain <audio® and <video™ tay with required attributes, 6 Explain different types of se",6
B.Sc. (CA&IT),1,2023,Remedial,Explain arithmetic operators and logical operators in JavaScript. 2 Discuss the advantages and features of JavaScript Discuss any five Input and Output Devices. 2 What is Computer? Explain Block Diagram of Computer. 3 List out type of port and Explai,12
B.Sc. (CA&IT),1,2023,Remedial,"How many different ways can gold, silver, and bronze medals be awarded in an Olympic event with 12 athletes competing? Define the term ‘communication’ and explain its features. 2 Explain any five conjunctions and give examples Discuss the effective m",0
B.Sc. (CA&IT),1,2024,Remedial,Demonstrate various Flowchart 06 col BTL3 Symbols. 3 | Summarize Basic Structure of C Program with example. 06 CO2 BTL2 4 | Illustrate Features of C Language. 06 Cco2 BTL4 5 | Explain Increment-Decrement and Relational Operators 06 Cco2 BTL2 with exa,0
B.Sc. (CA&IT),1,2024,Regular,"Discuss rules for preparing Algorithm with example. 5 2 Discuss Basic Structure of C Program with example. . : ' 3 How to define Symbolic Constants in C Language? Explain rules to define Symbolic Constants ; 7 4, What is the use of switch case statem",0
B.Sc. (CA&IT),1,2023,Regular,What is Algorithm? Explain Branching Type of Algorithm with example Create an Algorithm and draw a Flowchart to find sum of all the integers greater than 100 and less than 200 that are divisible by 5 How to define Symbolic Constants in C Language? Ex,12
B.Sc. (CA&IT),1,2023,Regular,Illustrate General Rules for creating Flowchart Write a short note on C Tokens Discuss various properties of Algorithm Write a C Program to find smallest number from given three numbers Discuss switch case statement with proper example Define Terms: ,12
B.Sc. (CA&IT),1,2023,Regular,Define step of Mail Merge What is Batch file? Discuss with an example What is DOS? Explain any five Internal Commands of DOS Write a short note on Custom Animation,6
B.Sc. (CA&IT),1,2019,Regular,"Write the syntax to create, read and delete a cookie using JavaScript Explain CSS background properties with proper example What is Algorithm? Discuss Looping Type of Algorithm with example. 2 What is C Token? How it is useful in C Language? ____3.__",6
B.Sc. (CA&IT),1,2019,Regular,Write 4 short note on factorial notation with example,0
B.Sc. (CA&IT),1,2022,Regular,Illustrate General Rules for creating Flowchart. b) Explain basic structure of C Program with example. c) Create an Algorithm and draw a Flowchart to find sum of all the integers greater than 100 and less than 200 that are divisible by 7. d) How to d,12
B.Sc. (CA&IT),1,2022,Regular,Explain Branching Type of Algorithm with example. b) Write a short note on C Tokens. c) Discuss various properties of Algorithm. 3,12
B.Sc. (CA&IT),1,2022,Regular,"Explain Increment and Decrement operators with example. b) Explain Nested if... else statement with proper example. c) Write a C Program to find smallest numbers among three numbers. 4, Answer the following",6
B.Sc. (CA&IT),1,2022,Regular,"Explain for loop with proper example SECTION-I Answer the following: (Any Five) What is DOS? Explain any five Internal commands of DOS Define terms: Header, Footer, Footnote, Endnote, Drop cap, Watermark Discuss Any five Mathematical Function in MS E",6
B.Sc. (CA&IT),1,2022,Regular,"Differentiate between RAM and ROM. 2 Define the following set by Roaster method. @) A= {x /x isa single digited prime number} (ii) B -{s/x= ne nnsah n+l (iii) C = {x/x? -7=0,xe R} 2 Discuss Isomorphic Graph in detail. 5 Define: Domain, Co Domain and ",0
B.Sc. (CA&IT),2,2024,Remedial,With 06 Cco2 BTL-3 example. 3 | Explain advantages and disadvantages of responsive web 06 Co4 BTL-4 design. 4 | What is an AJAX? Discuss various technologies involved 06 Cco2 BTL-5 in AJAX. 5 | Write a short note on followings. 06 col BTL-2 a.) Offli,0
B.Sc. (CA&IT),2,2023,Regular,"Explain string handling functions with example What is UDI? List out category of UDF and Discuss any one category with example, Discuss structure in detail with proper example What is pointer? How to declare and initialize pointer? Discuss it with ex",30
B.Sc. (CA&IT),2,2023,Regular,Explain advantages and disadvantages of accounting Write a short note on types of account with an example Write a short note on trading account and profit & loss account Write a short note on branches of account What is accounting ratio? Explain clas,12
B.Sc. (CA&IT),2,2023,Regular,Explain types of subsidiary book What is final account? Explain objectives of final account Find out BEP (in unit) and BEP (in rupees) Answer the following Any One) What is Tally? Define features of tally? Write short note on voucher Write a short no,10
B.Sc. (CA&IT),2,2023,Regular,"State the difference between RISC and CISC architecture, 3 What is Addressing Techniques? Explain in details",6
B.Sc. (CA&IT),2,2023,Regular,Explain different types of operating systems Explain different types of registers in processor Draw the block diagram of microprocessor and explain its components Write a short note on plug and play feature What is the use of programming language? Ex,6
B.Sc. (CA&IT),2,2024,Regular,"Provide examples to illustrate these BTL6 | differences. _ | 4 | Discuss the purpose and functionality of dynamic 06 C04 BTL3 i i_memory allocation functions in C. . | 5 | Define the relationship between pointers and arrays in C 06 col BTL2, and illu",0
B.Sc. (CA&IT),2,2019,Regular,Explain types of color space in details Write a short note on Resolution Explain Transformation in Photoshop Describe the Corel draw interface with figure Write steps to move Circle from top to bottom in animation (Synfig studio) Describe the Animati,6
B.Sc. (CA&IT),2,2019,Regular,Discuss any two elements of multimedia Describe important panel and their functions in Animation tool Write a short note on Methods of Accounting. 2 Discuss the Branches of Accounting in detail. 4 Write down the difference between Trial Balance and B,30
B.Sc. (CA&IT),2,2019,Regular,Discuss it with example Explain various characteristics of RISC Machines IV) What is Micro controller? Discuss any one Application of Micro controller Discuss Array Computers Method of Processor Level Parallelism,12
B.Sc. (CA&IT),3,2023,Remedial,Explain in detail Explain type conversation and type casting with example What is Thread? Explain different ways to implements thread with example Explain benefit of generic? Explain generic in detail Explain dynamic array with example Explain in bri,12
B.Sc. (CA&IT),3,2023,Remedial,What is package?,6
B.Sc. (CA&IT),3,2024,Remedial,Explain the types of it. 06 Cco2 BTLI 2 | Write down algorithm for Deque operations. 06 Co3 BTL3 3 | Write down algorithm to insert a node at the beginning of 06 C03 BTL2 the doubly link list Explain its types in detail. 06 co2 BTL4 3 | Explain threa,0
B.Sc. (CA&IT),3,2019,Regular,Explain the types of it Write down algorithm for Deque insert and delete operations Explain different tree traversal method with example Give the difference between SMA and DMA Write down the algorithms for all stack operations Explain binary search ,6
B.Sc. (CA&IT),3,2019,Regular,Describe DIR command with all attributes What is mail merge? Write down steps for mail merge Discuss importance of Freeze Panes and Drawing Tools in Excel What is Excel? Define features of Excel Discuss features of PowerPoint Discuss Data types of Mi,6
B.Sc. (CA&IT),3,2019,Regular,"Discuss different elements of Microsoft Access, ad Define System and Characteristic of a System Explain Need for System Development, List out various Fact finding techniques and describe any one in brief. 2. 3 4 Explain various level of Testing in de",6
B.Sc. (CA&IT),3,2019,Regular,"Draw Case Study for Hospital Management System, 2 Draw case study for Railway Reservation system Explain various data types in Oracle Discuss aggregate functions Discuss GRANT and REVOKE statement in detail Explain Advantages of DBMS. 2 Write short n",12
