course,semester,exam_type,year,question,marks
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,cos BTL42Explain String Handling/Manipulation tuncttons wttn,6
B.Sc.,1,Regular,2023,Here's a set of true/false statements related to Microsoft,12
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,"f,""ptui, tt e concept of variables and data types in",6
B.Sc.,1,Regular,2023,"Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.",60
B.Sc.,1,Regular,2023,Explain Architecture of Micro Processor. 06co5 BTL5,6
B.Sc.,1,Regular,2023,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.2. This Question paper has two sections. Each section should be written in a separate",60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,-l Answer the following. (Any 5),6
B.Sc.,1,Regular,2023,"prove that: (""|1) = (.ir) + (l)I",4
B.Sc.,1,Regular,2023,GANPAT UNIVERSITY,60
B.Sc.,1,Regular,2023,6,12
B.Sc.,2,Regular,2023,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattem Level'",60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,Sectiou-l cot.tsist of 07 qucstions of 6 nrarl<s cach rvith optior.rs rcspectivcly. Scction-ll,6
B.Sc.,2,Regular,2023,"IJxplain in detail CountDownlatch, CyclicJ3an'icr,",6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,4Answer the following: (Any One) 06;I,6
B.Sc.,2,Regular,2023,"This Question paper has two r;;,i;. Each section should be written in a separate",60
B.Sc.,2,Regular,2023,"3TJn-r"":j;sist of 07 questions of 6 marks each with options respectiverv. section-Ir",6
B.Sc.,2,Regular,2023,"Dis""rrat potential lssues iluLr rvrurr""'",12
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,COIlloo rrr's,6
B.Sc.,2,Regular,2023,Desclibe the lole of Local L.rstitutions in Rehabilitation 0(rco5 B'I'L4,1
B.Sc.,2,Regular,2023,aJ.answer book.I,60
B.Sc.,2,Regular,2023,Discuss ls Command and chmod Comrn.and_ 06cos BTL6,6
B.Sc.,2,Regular,2023,"' Figures to the right indicate furl marks, course outcomes and BL pattem Level.' ffiSi::lon paper has two sections. Bu""t ,"".tio, stroutJ u-e wriften in a separate",60
B.Sc.,2,Regular,2023,"aa\_,\.\, rrusrluss 1-\lltuytICS toolS ztt.c cllccttvc in 2023./-_ ---.-.:2ry,.:.:ll ), ""I9!gT: 4il t.y Gil oo i i* ri li*, t, i *06CO4 Lll',I_-5206 COr+ It'f i_6{",6
B.Sc.,2,Regular,2023,-5. Answer the following Questions. (Any Tvo),4
B.Sc.,2,Regular,2023,!,9
B.Sc.,2,Regular,2023,Be precise and to the point in your answer,6
B.Sc.,2,Regular,2023,Be precise and to the point in your answer,6
B.Sc.,2,Regular,2023,Explain various level of RAID. Be precise and to the point in your answer,4
B.Sc.,2,Regular,2023,Deseribe the header of IPv6.,8
B.Sc.,2,Regular,2023,Figures to the right indicate full marks 2. Be precise and to the point in vour answer,4
B.Sc.,2,Regular,2023,-5. (AJ Answer the following: (ANY 1) Explain nested if statement with suitable example.,3
B.Sc.,2,Regular,2023,Be precise and to the point in your answer,6
B.Sc.,2,Regular,2023,GANPAT UNIVERSITY,6
B.Sc.,2,Regular,2023,of 11 (30),30
B.Sc.,2,Regular,2023,(A),3
B.Sc.,2,Regular,2023,of 11 Sunday.,2
B.Sc.,2,Regular,2023,of 11 (has/are/have),6
B.Sc.,2,Regular,2023,.,10
B.Sc.,2,Regular,2023,5. Answer the following: (Any Twvo) III Explain all the Common Dialog Box in detail with examples.,10
B.Sc.,2,Regular,2023,Be precise and to the point in your answer,10
B.Sc.,2,Regular,2023,Be precise and to the point in your answer Answer the following: (Any Six),30
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be 'Total: 60 Marks,60
B.Sc.,1,Regular,2023,What is string? How one can declare and assign string,6
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-l consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,"What is cookie? Describe syntax to create, read and delete",6
B.Sc.,1,Regular,2023,.,6
B.Sc.,1,Regular,2023,co5 BTL3,1
B.Sc.,1,Regular,2023,This euestion paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Sectior-r-Il,6
B.Sc.,1,Regular,2023,Explain Intrusion Detection and Prevention systems. Give the,6
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,6,6
B.Sc.,1,Regular,2023,"Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.",60
B.Sc.,1,Regular,2023,-2 Answer the following (AnY Two)I,6
B.Sc.,1,Regular,2023,COl BTL5,7
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written,6
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,Explain pop-up box with proper example. 06cos BTL2,12
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,"Discuss Logical and Physical Address Space. 06cos"" BTL6",6
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 mqrks each with options respectively. Section-Il,60
B.Sc.,1,Regular,2023,"Define these keywords: IDS, IPS, Remote Desktop",6
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,"CO4 BTL3,",6
B.Sc.,1,Regular,2023,"Figures to the right indicate fulImarks, Course Outcomes and BL pattem Level.2. This Question paper has two sections. Each section should be written in a separate",60
B.Sc.,1,Regular,2023,"Section I cd""nsists of 07 questions of 6 marks each with options respectively. SectionII consists of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks and",6
B.Sc.,1,Regular,2023,7,6
B.Sc.,2,Regular,2023,Justil.v lhc uscr rnrrr-iiLgerrtcnt. 06CO5 BT'L5,60
B.Sc.,2,Regular,2023,"' Figures to the right indicate full marks, course outcomes and BL pattem Level.2' This Question paper has two sections. Each section shouid be written in a separate",60
B.Sc.,2,Regular,2023,"' Section-I consist of 07 questions of 6 marks each with options respectively, Section-il",6
B.Sc.,2,Regular,2023,co5Evaluate pattern matching operator in detail-,12
B.Sc.,2,Regular,2023,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.",60
B.Sc.,2,Regular,2023,Describe the process of passing Lambda Expressions as,6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,What is ft.ewall? Demonstrate the work of firewall 06co5 BTL4,6
B.Sc.,2,Regular,2023,"Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.2. This Question paper has two sections. Each section should be written in a separate",60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should,6
B.Sc.,2,Regular,2023,What do you mean by man-made (human alqes;,6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,"El""b""*t"" """" the steps to create a blog in WordPress,",6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,1
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,In what scenarios is Windows Authentication preferable,6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate answer book',60
B.Sc.,2,Regular,2023,Section-l consist of 07 questions of 06 marks each with options respectively. Section-Il consist of 03,6
B.Sc.,2,Regular,2023,State the difference between RDBMS and NoSQL',12
B.Sc.,2,Regular,2023,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.",60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,Write a shott note on design models. 06co4 BTL4,6
B.Sc.,1,Regular,2023,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level'",60
B.Sc.,1,Regular,2023,uestion 4 of 6 Marks with options respectively',6
B.Sc.,1,Regular,2023,cos-T--erl.s,1
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,6,6
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a.separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively.Section-Il,6
B.Sc.,1,Regular,2023,Elaborate the JavaScript function with example. 06co5 BTL4,6
B.Sc.,1,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,1,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,1,Regular,2023,Define underfitting and discuss its implications in,6
B.Sc.,1,Regular,2023,4,6
B.Sc.,1,Regular,2023,.,60
B.Sc.,1,Regular,2023,"Section-I consists of 07 questions of 6 marks each with options respectively. SectionII consists of 03 questions, euestion 2 of 12 Marks, euestion 3 of 12 Marks and",6
B.Sc.,1,Regular,2023,CO4 BTL 6,6
B.Sc.,2,Regular,2023,This Question paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc.,2,Regular,2023,Write a program for Quick sorting. 06co5 BTL6,6
B.Sc.,2,Regular,2023,6,6
B.Sc.,2,Regular,2023,This euestion paper has two sections. Each section should be written in a separate,60
B.Sc.,2,Regular,2023,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
